Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Timor-Leste,TLS,2.63647201015897,0.958812739703131
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Togo,TGO,0.92775542645718,0.674652770077458
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Tonga,TON,5.03209691984879,1.17954334821804
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Trinidad and Tobago,TTO,1.01856930188824,1.00054293027233
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Tunisia,TUN,7.30759176031653,6.72007532863797
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Turkiye,TUR,16.3324638988928,15.1768215720023
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Uganda,UGA,2.61601190952271,2.86758803446903
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Ukraine,UKR,10.9518559353178,7.88671745611135
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,United Arab Emirates,ARE,3.06863379251993,-1.93108114782171
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,United Kingdom,GBR,2.29283990345937,1.73810460086515
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,United States,USA,2.44258329692817,1.81221007526021
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Uruguay,URY,7.60653360377048,7.88198870879619
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Uzbekistan,UZB,17.5241796514055,14.5257359560686
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Vanuatu,VUT,2.33096379566871,2.76252019386107
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Viet Nam,VNM,3.53962805942638,2.79582367452249
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,West Bank and Gaza,PSE,-0.195107773730709,1.58018333639456
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Zambia,ZMB,7.49457192728517,9.15031644316299
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Zimbabwe,ZWE,10.6188658669575,255.304990757856
